Queens of the Stone Age,Make It Wit Chu,-BdSHiiqS9o,2020-01-01
Queens of the Stone Age,Misfit Love,Kws9gnHj_rE,2020-01-01
Queens of the Stone Age,Obscenery,3HDIfn3bCcg,2020-01-01
Queens of the Stone Age,Smooth Sailing,7Q4MU-qvbcM,2020-01-01
Queens of the Stone Age,Un-Reborn Again,WBTbH2X9mc0,2020-01-01
Queens of the Stone Age,"Vampyre of Time and Memory, The",eJGuxefbhgY,2020-01-01
Radiohead,All I Need,yIJ6QxJZQ_k,2020-01-01
Radiohead,Creep,fgt1YxQV8V4,2020-01-01
Radiohead,Idioteque,XGq-T5uWNN4,2020-01-01
Radiohead,Jigsaw Falling Into Place,7a_ZsCperIU,2020-01-01
Radiohead,Karma Police,B4-H-3lSy6w,2020-01-01
Radiohead,Optimistic,1OHFG3QDqHU,2020-01-01
Radiohead,Paranoid Android,7-ucPTAdvf4,2020-01-01
Radiohead,Reckoner,7ivSOnRqBXo,2020-01-01
Ray Parker Jr.,Ghostbusters,c5BjapvUndQ,2020-01-01
Rehab,Bartender Song (Sittin' at a Bar),V_4AF4bPbbo,2020-01-01
Rob Zombie,Dragula,XJu4cu-C-gM,2020-01-01
"Rocky Horror Picture Show, The",Time Warp,Jg4FyXJDg9c,2020-01-01
"Rolling Stones, The","Paint It, Black",fBMGy4d9XZw,2020-01-01
"Rolling Stones, The",Sympathy for the Devil,7vJOoY1tjvY,2020-01-01
"Romantics, The",What I Like About You,Y_1OhDLPwkM,2020-01-01
Rush,"Spirit of Radio, The",djgndCJ2hzY,2020-01-01
Sam Smith,I'm Not the Only One,XcZX89Z0nVA,2020-01-01
Seven Mary Three,Cumbersome,1rNQOtdIOM0,2020-01-01
Shania Twain,That Don't Impress Me Much,LCg8vFCu8Ds,2020-01-01
She Wants Revenge,Tear You Apart,W7emb0VUNO8,2020-01-01
Sheryl Crow,Soak Up the Sun,Y4O99Nq1wTE,2020-01-01
Simple Minds,Don't You (Forget About Me),wZT1WjGUxjY,2020-01-01
Sir Chloe,Michelle,50TNx49KNwc,2020-01-01
Skid Row,18 And Life,3k5jPmWBcrM,2020-01-01
Smash Mouth,All Star,ABOYo7ioQJo,2020-01-01
Soft Cell,Tainted Love,WGbHRHRYo20,2020-01-01
Sonny And Cher,I Got You Babe (Duet),xm-oiJHg5Tk,2020-01-01
Soundgarden,Black Hole Sun,eL3XAPuKaAo,2020-01-01
Soundgarden,Burden In My Hand,eHSBoDiNKUo,2020-01-01
Soundgarden,"Day I Tried To Live, The",P7h5iY58jRA,2020-01-01
Soundgarden,Fell On Black Days,pgjpSF3IMvU,2020-01-01
Soundgarden,Outshined,WXygvUbh31Y,2020-01-01
Soundgarden,Room A Thousand Years Wide,G6xAJVXBylE,2020-01-01
South Pacific,Honey Bun,WzVhpSESojg,2020-01-01
Steven Universe,"It's Over, Isn't It",vlX1hDw4Oek,2020-01-01
Stevie Nicks and Tom Petty,Stop Draggin' My Heart Around,UvdzJjC1-Xw,2020-01-01
Stevie Nicks and Tom Petty,Stop Draggin' My Heart Around (Duet),zAN6F35YOJA,2020-01-01
Stevie Wonder,Part-Time Lover,qh3_4pGioHk,2020-01-01
Stevie Wonder,Superstition,7kWhaDjtY5A,2020-01-01
Stone Temple Pilots,All in the Suit That You Wear,hStGUT5G9hg,2020-01-01
Stone Temple Pilots,Big Empty,7nASPRisc8g,2020-01-01
Stone Temple Pilots,Creep,xJMOoJftxhg,2020-01-01
Stone Temple Pilots,Interstate Love Song,0G4khFOKSaU,2020-01-01
Stone Temple Pilots,Plush,CaEOO19_fNo,2020-01-01
Stone Temple Pilots,Wonderful,pxifxbf5oIM,2020-01-01
Sugar Ray,Every Morning,1G7Fvf_r9tQ,2020-01-01
Sugar Ray,Fly,P88WqShKLM4,2020-01-01
Sugar Ray,Someday,MeOdauPAOv4,2020-01-01
Sugar Ray,When It's Over,1PB2jyG0UHU,2020-01-01
