"Backstreet Boys","I Want It That Way","NxilU56kPu0","E:/Karaoke/Songs/Backstreet Boys - I Want It That Way - NxilU56kPu0.mp4"
"Bad Omens","Like a Villain","58raSIFlrII","E:/Karaoke/Songs/Bad Omens - Like a Villain - 58raSIFlrII.mkv"
"Bad Omens","The Death of Peace of Mind","EYugkXp8TD4","E:/Karaoke/Songs/Bad Omens - The Death of Peace of Mind - EYugkXp8TD4.mkv"
"Barry McGuire","Eve of Destruction","A kDX6LeTEY","E:/Karaoke/Songs/Barry McGuire - Eve of Destruction - A_kDX6LeTEY.mp4"
"Bauhaus","Bela Lugosi's Dead (abbr. 6 min.)","ZjjQQOc5XkM","E:/Karaoke/Songs/Bauhaus - Bela Lugosi's Dead (abbr. 6 min.) - ZjjQQOc5XkM.mp4"
"Bauhaus","Bela Lugosi's Dead (full 9 min.)","LF-dJvtfgDk","E:/Karaoke/Songs/Bauhaus - Bela Lugosi's Dead (full 9 min.) - LF-dJvtfgDk.mp4"
"Be Your Own Pet","Becky","MpDOZ-ygV5A","E:/Karaoke/Songs/Be Your Own Pet - Becky - MpDOZ-ygV5A.mp4"
"Beach Boys, The","Kokomo","aHmfaaKerP4","E:/Karaoke/Songs/Beach Boys, The - Kokomo - aHmfaaKerP4.mp4"
"Beach Bunny","Dream Boy","okCNazRkwTw","E:/Karaoke/Songs/Beach Bunny - Dream Boy - okCNazRkwTw.mp4"
"Beach Bunny","Prom Queen","oo4WyB9JBGk","E:/Karaoke/Songs/Beach Bunny - Prom Queen - oo4WyB9JBGk.mp4"
"Beach Bunny","Sports","DBOEo9mudE4","E:/Karaoke/Songs/Beach Bunny - Sports - DBOEo9mudE4.mp4"
"Beach House","Silver Soul","2 NuX5omd6A","E:/Karaoke/Songs/Beach House - Silver Soul - 2_NuX5omd6A.mkv"
"Beastie Boys","Paul Revere","y5h1VIah6ew","E:/Karaoke/Songs/Beastie Boys - Paul Revere - y5h1VIah6ew.mp4"
"Beatles, The","Hey Jude (acoustic)","hQ5NrZ3N4No","E:/Karaoke/Songs/Beatles, The - Hey Jude (acoustic) - hQ5NrZ3N4No.mkv"
"Beatles, The","I'm Only Sleeping","AQscW6YOVL0","E:/Karaoke/Songs/Beatles, The - I'm Only Sleeping - AQscW6YOVL0.mkv"
"Beatles, The","Let It Be (acoustic)","4AjpB7PuZqY","E:/Karaoke/Songs/Beatles, The - Let It Be (acoustic) - 4AjpB7PuZqY.mkv"
"Beatles, The","Long and Winding Road (acoustic)","Xp5A8P7vgzA","E:/Karaoke/Songs/Beatles, The - Long and Winding Road (acoustic) - Xp5A8P7vgzA.mkv"
"Beatles, The","Yellow Submarine","zvDMgPt5Bxo","E:/Karaoke/Songs/Beatles, The - Yellow Submarine - zvDMgPt5Bxo.mp4"
"Beatles, The","Yesterday (acoustic)","RSP Ld0drEs","E:/Karaoke/Songs/Beatles, The - Yesterday (acoustic) - RSP_Ld0drEs.mkv"
"Beck","Lost Cause","[XdATZBZ62a8","E:/Karaoke/Songs/Beck - Lost Cause - [XdATZBZ62a8.mkv"
"Ben E. King","Stand by Me (acoustic)","fpl0bWMigRE","E:/Karaoke/Songs/Ben E. King - Stand by Me (acoustic) - fpl0bWMigRE.mkv"
"Beyonce","If I Were A Boy","56kZ5BYfO6E","E:/Karaoke/Songs/Beyonce - If I Were A Boy - 56kZ5BYfO6E.mp4"
